page_name,about,fan_count,talking_about_count,website,page_id,year,month,day
American Journal Review,American Journal Review is a conservative news and opinion website founded by Dr. Buckley R. Arrow.,939793,224654,http://americanjournalreview.com,1554834908172384,,,
Patriot Journal,Real conservative. Real news.,1192456,101812,http://PatriotJournal.com,1557469237907508,,,
beforeitsnews.com,"Before It’s News is a people-powered news-sharing service.

We like to think of ourselves as the 'YouTube of News.'

We specialize in publishing the news that the mainstream media ignores.",405496,736,www.beforeitsnews.com,156185069843,2009,,
U.S. Related News,Latest News and interesting stories from All Around World! visit us on www.usarelated.com,65091,4417,http://www.usarelated.com/,1564924110429668,,,
Fox News,"Welcome to the official Fox News facebook page.  Get breaking news, must see videos and exclusive interviews from the #1 name in news.",15563283,2140976,"http://foxnews.com/, http://insider.foxnews.com",15704546335,1996,10,7
Political Blind Spot,Political Blind Spot Blog ,24386,4,http://www.politicalblindspot.com,157718827732542,,,
National Review,"Standing Athwart History, 24/7 www.nationalreview.com",1079653,40659,http://www.NationalReview.com,15779440092,,,
"Red, White and Right",Defending Conservatism one news article at a time. ,375277,16069,http://redwhiteandright.com,157817631307424,,,
The Federalist,Be lovers of freedom and anxious for the fray.,55308,3854,http://thefederalist.com,157843634416312,2013,9,18
Allen West Republic,"Allen West Support page since June 2009 for Executive Director of NCPA, Former FL Congressman & Retired LTC of the US Army",891902,193501,http://allenwestrepublic.com,158924294183807,2009,,
The Conservative Update,We provide the news and updates that the mainstream media wants to hide.,680075,16502,http://www.tpnn.com,1591828521031839,,,
Free Patriot Post,News for Patriots,223876,11747,http://freepatriotpost.com,1595723550651430,,,
Political Jungle,"Political informations for USA , daily and fresh informations and introductions to people who love politics, enjoy.",1847,4,http://politicaljungle.net/,1598314740470404,,,
NationofChange,"NationofChange is a 501(c)(3) nonprofit news and activist community that provides an online magazine, daily newsletter, and action resources to the public.",105776,5401,www.nationofchange.org,160260190686110,2011,,
ATTN:,,4770076,963063,http://attn.com,160389977329803,,,
Top Right News,All the News the media doesn't want you to see,22866,105,http://toprightnews.com,160617427472811,,,
Skepchick,"Skepchick is a site devoted to science, critical thinking, secularism, and feminism.",23269,14,www.skepchick.org,160712560629690,2006,,
Just Politcs Things,News about politics in the USA.,1092,8,http://secretnewsusa.com,1608786116085025,,,
The Committee to Defend the President,"Please join us and defend President-elect Donald J. Trump. The Crooked Media has shown us time and time again that they can not be trusted, we will defend him!",795896,48579,http://committeetodefendthepresident.com/,161453087348302,2013,,
Shadowproof,Reader-supported journalism dedicated to exposing abuses of power in business and government.,6435,156,http://shadowproof.com,1624162894502220,,,
Federalist Tribune,"We stand for life, liberty and the pursuit of happiness, just as our forefathers envisioned.",18150,1902,,1629588830403923,,,
