page_id,total_engagement.march2016,total_engagement.march2017,political_category,page_name,fan_count,growth_category
64639136366,127786.0,93436.0,left,Truthdig,242517,shrunken_left
651833651535152,25.0,4931.0,left,Second Nexus,49360,grown_left
689005071241062,330.0,28017.0,right,USA News Studio,108345,grown_right
695526053890545,1758536.0,902521.0,right,Ann Coulter,686489,shrunken_right
69813760388,2306415.0,5434544.0,right,Sean Hannity,3180094,grown_right
730086470386080,0.0,38.0,right,Political Illusions Exposed,737,grown_right
731244080298286,563294.0,911980.0,left,Reverb Press,792957,grown_left
735302356547665,10679.0,9732.0,right,The American Mirror,117859,shrunken_right
7458504675,3462.0,3630.0,left,The Frisky,112826,grown_left
749061648443344,8.0,51.0,right,Liberty Talk FM,10133,grown_right
752089438256272,4551.0,276798.0,right,USA 24,271222,grown_right
762592150466931,1625230.0,357660.0,left,If You Only News,579218,shrunken_left
7629206115,366687.0,210088.0,left,The Nation Magazine,620870,shrunken_left
7642602143,784004.0,2181902.0,left,Mother Jones,1545183,grown_left
767739230029205,181.0,,right,Daily News 24/7,1045,shrunken_right
768969409823211,478.0,528.0,right,IOTW Report,783,grown_right
769354053132340,909380.0,231524.0,right,American Patriot Daily News Network,382506,shrunken_right
799007653446065,97.0,35493.0,right,Liberty Viral,23400,grown_right
80256732576,300768.0,639291.0,right,InfoWars,795716,grown_right
811793512220923,137001.0,171175.0,right,The Rebel,138454,grown_right
81307324765,27193.0,1088.0,left,Countercurrents.org,88264,shrunken_left
825897147516847,91.0,,right,Us viewer,349,shrunken_right
827052560703226,101.0,,left,Higgins News Network,743,shrunken_left
83865976093,160790.0,122329.0,left,Truthout,748762,shrunken_left
85452072376,1718288.0,283049.0,right,Newsmax,1199572,shrunken_right
870254066367607,175.0,321.0,right,usdefensewatch.com,1320,grown_right
872535699511452,3410249.0,803955.0,right,The Angry Patriot,1109597,shrunken_right
879232675425585,57.0,389.0,right,Right Edition Your Conservative Right Wing News Website and Blog,1098,grown_right
879307625456770,19872.0,158597.0,left,Daily News Bin,71497,grown_left
882703445081566,4.0,8.0,right,Political Ears,70,grown_right
8936818385,1463.0,1631.0,right,Accuracy in Media,12471,grown_right
897023440417172,4307.0,13230.0,right,DC Whispers,3712,grown_right
91414372270,417.0,396.0,right,Foreign Policy Journal,15345,shrunken_right
916120348409972,8125.0,5668.0,right,WeaselZippers,4248,shrunken_right
929534787140343,15538.0,4802685.0,right,World News Politics,2107026,grown_right
940295849386709,1057407.0,985626.0,right,Conservative World Daily,1354663,shrunken_right
9432926737,55025.0,45035.0,left,Rewire,110470,shrunken_left
95475020353,9066729.0,11473250.0,right,Breitbart,3524540,grown_right
961038380624167,48272.0,44917.0,left,Jeffrey Dunetz's The Lid Blog,119187,shrunken_left
968877143183195,164097.0,470978.0,left,Liberal Mountain,146796,grown_left
97464672662,79139.0,22491.0,right,Tammy Bruce,89598,shrunken_right
978296472213431,1151054.0,600888.0,right,The Proud Conservative,741768,shrunken_right
979613892126968,1470734.0,5961902.0,left,Proud Liberals,2413702,grown_left
98658495398,301980.0,260203.0,left,Talking Points Memo,417009,shrunken_left
1014803551921469,,36531.0,right,SourcesNews,59306,grown_right
1035617169863710,,4260.0,right,I DID NOT Vote For Hillary in 2016,36269,grown_right
1036253643101134,,971788.0,left,Proud Liberal,510991,grown_left
1036841469686059,,926927.0,left,We Are Liberal,1278889,grown_left
1046400185439764,,1140276.0,left,Proud Progressive,915863,grown_left
1059410987429703,,5152.0,right,Trump Revolution,53784,grown_right
1065157933581240,,170200.0,right,Proud to Be Deplorable,318937,grown_right
107222359687604,,485.0,right,American Lens,922,grown_right
1086868394685992,,1543.0,right,Usa News 24/7,7957,grown_right
1089660871073245,,1430401.0,right,Overpasses For America,367821,grown_right
1109093812491437,,410321.0,right,CRTV,268868,grown_right
1119554641443403,,631097.0,right,Conservative Patriots,594885,grown_right
1125333984241125,,68897.0,right,Conservative Fighters,19880,grown_right
1126662784108968,,27.0,right,America Uncensored,69,grown_right
1129007383778921,,114361.0,right,Heat Street,263470,grown_right
1146442485436882,,1137.0,right,Daily News - Politic,545,grown_right
1146656498733605,,17269.0,left,It's Going Down,18900,grown_left
114849938997087,,228.0,right,Usa Daily Reports,130,grown_right
1170562502965493,,12815.0,right,USA News,93301,grown_right
1184476888286808,,2737.0,right,Trump Party,7524,grown_right
1202208636511729,,651928.0,right,American Monitor Online,747326,grown_right
1202861959767715,,111.0,left,Left Side,13448,grown_left
1221818827889644,,1.0,right,World News And Rumors,121,grown_right
1237168256301866,,34.0,right,Refined Right,414,grown_right
126703811068849,,5.0,right,Patriot News Daily,508,grown_right
129425217526985,,2188.0,right,BlingNews,4884,grown_right
131682593971195,,1376260.0,left,Raw Progressive,621613,grown_left
